# Miscellaneous Symbols and Arrows 02B00 - 02BFF
2B4C	rightwardsArrowAboveReverseTildeOperator	RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4D	downwardsTriangleheadedZigzagArrow 	DOWNWARDS TRIANGLE-HEADED ZIGZAG ARROW
2B4E	shortSlantedNorthArrow	SHORT SLANTED NORTH ARROW
2B4F	shortBackslantedSouthArrow	SHORT BACKSLANTED SOUTH ARROW
2B50	whiteMediumStar	WHITE MEDIUM STAR
2B51	blackSmallStar	BLACK SMALL STAR
2B52	whiteSmallStar	WHITE SMALL STAR
2B53	blackRightpointingPentagon 	BLACK RIGHT-POINTING PENTAGON
2B54	whiteRightpointingPentagon 	WHITE RIGHT-POINTING PENTAGON
2B55	heavyLargeCircle	HEAVY LARGE CIRCLE
2B56	heavyOvalWithOvalInside	HEAVY OVAL WITH OVAL INSIDE
2B57	heavyCircleWithCircleInside	HEAVY CIRCLE WITH CIRCLE INSIDE
2B58	heavyCircle	HEAVY CIRCLE
2B59	heavyCircledSaltire	HEAVY CIRCLED SALTIRE
2B5A	slantedNorthArrowWithHookedHead	SLANTED NORTH ARROW WITH HOOKED HEAD
2B5B	backslantedSouthArrowWithHookedTail	BACKSLANTED SOUTH ARROW WITH HOOKED TAIL
2B5C	slantedNorthArrowWithHorizontalTail	SLANTED NORTH ARROW WITH HORIZONTAL TAIL
2B5D	backslantedSouthArrowWithHorizontalTail	BACKSLANTED SOUTH ARROW WITH HORIZONTAL TAIL
2B5E	bentArrowPointingDownwardsThenNorthEast	BENT ARROW POINTING DOWNWARDS THEN NORTH EAST
2B5F	shortBentArrowPointingDownwardsThenNorthEast	SHORT BENT ARROW POINTING DOWNWARDS THEN NORTH EAST
2B60	leftwardsTriangleheadedArrow 	LEFTWARDS TRIANGLE-HEADED ARROW
2B61	upwardsTriangleheadedArrow 	UPWARDS TRIANGLE-HEADED ARROW
2B62	rightwardsTriangleheadedArrow 	RIGHTWARDS TRIANGLE-HEADED ARROW
2B63	downwardsTriangleheadedArrow 	DOWNWARDS TRIANGLE-HEADED ARROW
2B64	leftRightTriangleheadedArrow 	LEFT RIGHT TRIANGLE-HEADED ARROW
2B65	upDownTriangleheadedArrow 	UP DOWN TRIANGLE-HEADED ARROW
2B66	northWestTriangleheadedArrow 	NORTH WEST TRIANGLE-HEADED ARROW
2B67	northEastTriangleheadedArrow 	NORTH EAST TRIANGLE-HEADED ARROW
2B68	southEastTriangleheadedArrow 	SOUTH EAST TRIANGLE-HEADED ARROW
2B69	southWestTriangleheadedArrow 	SOUTH WEST TRIANGLE-HEADED ARROW
2B6A	leftwardsTriangleheadedDashedArrow 	LEFTWARDS TRIANGLE-HEADED DASHED ARROW
2B6B	upwardsTriangleheadedDashedArrow 	UPWARDS TRIANGLE-HEADED DASHED ARROW
2B6C	rightwardsTriangleheadedDashedArrow 	RIGHTWARDS TRIANGLE-HEADED DASHED ARROW
2B6D	downwardsTriangleheadedDashedArrow 	DOWNWARDS TRIANGLE-HEADED DASHED ARROW
2B6E	clockwiseTriangleheadedOpenCircleArrow 	CLOCKWISE TRIANGLE-HEADED OPEN CIRCLE ARROW
2B6F	anticlockwiseTriangleheadedOpenCircleArrow 	ANTICLOCKWISE TRIANGLE-HEADED OPEN CIRCLE ARROW
2B70	leftwardsTriangleheadedArrowToBar 	LEFTWARDS TRIANGLE-HEADED ARROW TO BAR
2B71	upwardsTriangleheadedArrowToBar 	UPWARDS TRIANGLE-HEADED ARROW TO BAR
2B72	rightwardsTriangleheadedArrowToBar 	RIGHTWARDS TRIANGLE-HEADED ARROW TO BAR
2B73	downwardsTriangleheadedArrowToBar 	DOWNWARDS TRIANGLE-HEADED ARROW TO BAR
2B76	northWestTriangleheadedArrowToBar 	NORTH WEST TRIANGLE-HEADED ARROW TO BAR
2B77	northEastTriangleheadedArrowToBar 	NORTH EAST TRIANGLE-HEADED ARROW TO BAR
2B78	southEastTriangleheadedArrowToBar 	SOUTH EAST TRIANGLE-HEADED ARROW TO BAR
2B79	southWestTriangleheadedArrowToBar 	SOUTH WEST TRIANGLE-HEADED ARROW TO BAR
2B7A	leftwardsTriangleheadedArrowWithDoubleHorizontalStroke 	LEFTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7B	upwardsTriangleheadedArrowWithDoubleHorizontalStroke 	UPWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7C	rightwardsTriangleheadedArrowWithDoubleHorizontalStroke 	RIGHTWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7D	downwardsTriangleheadedArrowWithDoubleHorizontalStroke 	DOWNWARDS TRIANGLE-HEADED ARROW WITH DOUBLE HORIZONTAL STROKE
2B7E	horizontalTabKey	HORIZONTAL TAB KEY
2B7F	verticalTabKey	VERTICAL TAB KEY
