# Supplemental Mathematical Operators 02A00 - 02AFF
2A54	doubleLogicalOr	DOUBLE LOGICAL OR
2A55	twoIntersectingLogicalAnd	TWO INTERSECTING LOGICAL AND
2A56	twoIntersectingLogicalOr	TWO INTERSECTING LOGICAL OR
2A57	slopingLargeOr	SLOPING LARGE OR
2A58	slopingLargeAnd	SLOPING LARGE AND
2A59	logicalOrOverlappingLogicalAnd	LOGICAL OR OVERLAPPING LOGICAL AND
2A5A	logicalAndWithMiddleStem	LOGICAL AND WITH MIDDLE STEM
2A5B	logicalOrWithMiddleStem	LOGICAL OR WITH MIDDLE STEM
2A5C	logicalAndWithHorizontalDash	LOGICAL AND WITH HORIZONTAL DASH
2A5D	logicalOrWithHorizontalDash	LOGICAL OR WITH HORIZONTAL DASH
2A5E	logicalAndWithDoubleOverbar	LOGICAL AND WITH DOUBLE OVERBAR
2A5F	logicalAndWithUnderbar	LOGICAL AND WITH UNDERBAR
2A60	logicalAndWithDoubleUnderbar	LOGICAL AND WITH DOUBLE UNDERBAR
2A61	smallVeeWithUnderbar	SMALL VEE WITH UNDERBAR
2A62	logicalOrWithDoubleOverbar	LOGICAL OR WITH DOUBLE OVERBAR
2A63	logicalOrWithDoubleUnderbar	LOGICAL OR WITH DOUBLE UNDERBAR
2A64	zNotationDomainAntirestriction	Z NOTATION DOMAIN ANTIRESTRICTION
2A65	zNotationRangeAntirestriction	Z NOTATION RANGE ANTIRESTRICTION
2A66	equalsSignWithDotBelow	EQUALS SIGN WITH DOT BELOW
2A67	identicalWithDotAbove	IDENTICAL WITH DOT ABOVE
2A68	tripleHorizontalBarWithDoubleVerticalStroke	TRIPLE HORIZONTAL BAR WITH DOUBLE VERTICAL STROKE
2A69	tripleHorizontalBarWithTripleVerticalStroke	TRIPLE HORIZONTAL BAR WITH TRIPLE VERTICAL STROKE
2A6A	tildeOperatorWithDotAbove	TILDE OPERATOR WITH DOT ABOVE
2A6B	tildeOperatorWithRisingDots	TILDE OPERATOR WITH RISING DOTS
2A6C	similarMinusSimilar	SIMILAR MINUS SIMILAR
2A6D	congruentWithDotAbove	CONGRUENT WITH DOT ABOVE
2A6E	equalsWithAsterisk	EQUALS WITH ASTERISK
2A6F	almostEqualToWithCircumflexAccent	ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT
2A70	approximatelyEqualOrEqualTo	APPROXIMATELY EQUAL OR EQUAL TO
2A71	equalsSignAbovePlusSign	EQUALS SIGN ABOVE PLUS SIGN
2A72	plusSignAboveEqualsSign	PLUS SIGN ABOVE EQUALS SIGN
2A73	equalsSignAboveTildeOperator	EQUALS SIGN ABOVE TILDE OPERATOR
2A74	doubleColonEqual	DOUBLE COLON EQUAL
2A75	twoConsecutiveEqualsSigns	TWO CONSECUTIVE EQUALS SIGNS
2A76	threeConsecutiveEqualsSigns	THREE CONSECUTIVE EQUALS SIGNS
