# Miscellaneous Mathematical Symbols-B 02980 - 029FF
29CD	triangleWithSerifsAtBottom	TRIANGLE WITH SERIFS AT BOTTOM
29CE	rightTriangleAboveLeftTriangle	RIGHT TRIANGLE ABOVE LEFT TRIANGLE
29CF	leftTriangleBesideVerticalBar	LEFT TRIANGLE BESIDE VERTICAL BAR
29D0	verticalBarBesideRightTriangle	VERTICAL BAR BESIDE RIGHT TRIANGLE
29D1	bowtieWithLeftHalfBlack	BOWTIE WITH LEFT HALF BLACK
29D2	bowtieWithRightHalfBlack	BOWTIE WITH RIGHT HALF BLACK
29D3	blackBowtie	BLACK BOWTIE
29D4	timesWithLeftHalfBlack	TIMES WITH LEFT HALF BLACK
29D5	timesWithRightHalfBlack	TIMES WITH RIGHT HALF BLACK
29D6	whiteHourglass	WHITE HOURGLASS
29D7	blackHourglass	BLACK HOURGLASS
29D8	leftWigglyFence	LEFT WIGGLY FENCE
29D9	rightWigglyFence	RIGHT WIGGLY FENCE
29DA	leftDoubleWigglyFence	LEFT DOUBLE WIGGLY FENCE
29DB	rightDoubleWigglyFence	RIGHT DOUBLE WIGGLY FENCE
29DC	incompleteInfinity	INCOMPLETE INFINITY
29DD	tieOverInfinity	TIE OVER INFINITY
29DE	infinityNegatedWithVerticalBar	INFINITY NEGATED WITH VERTICAL BAR
29DF	doubleendedMultimap 	DOUBLE-ENDED MULTIMAP
29E0	squareWithContouredOutline	SQUARE WITH CONTOURED OUTLINE
29E1	increasesAs	INCREASES AS
29E2	shuffleProduct	SHUFFLE PRODUCT
29E3	equalsSignAndSlantedParallel	EQUALS SIGN AND SLANTED PARALLEL
29E4	equalsSignAndSlantedParallelWithTildeAbove	EQUALS SIGN AND SLANTED PARALLEL WITH TILDE ABOVE
29E5	identicalToAndSlantedParallel	IDENTICAL TO AND SLANTED PARALLEL
29E6	gleichStark	GLEICH STARK
29E7	thermodynamic	THERMODYNAMIC
29E8	downpointingTriangleWithLeftHalfBlack 	DOWN-POINTING TRIANGLE WITH LEFT HALF BLACK
