   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   606 : cuberoot                                          -                        cuberoot                                Arabic                                  ARABIC-INDIC CUBE ROOT
  221B : cuberoot                                          -                        cuberoot                                Mathematical Operators                  CUBE ROOT           

  2448 : dash                                              -                        dash                                    Optical Character Recognition           OCR DASH            
 1F4A8 : dash                                              -                        dash                                    Miscellaneous Symbols and Pictographs   DASH SYMBOL         

   66B : decimalseparator                                  -                        decimalseparator                        Arabic                                  ARABIC DECIMAL SEPARATOR
  2396 : decimalseparator                                  -                        decimalseparator                        Miscellaneous Technical                 DECIMAL SEPARATOR KEY SYMBOL

  25C6 : diamondblack                                      -                        diamondblack                            Geometric Shapes                        BLACK DIAMOND       
  2666 : diamondblack                                      -                        diamondblack                            Miscellaneous Symbols                   BLACK DIAMOND SUIT  

  25C7 : diamondwhite                                      -                        diamondwhite                            Geometric Shapes                        WHITE DIAMOND       
  2662 : diamondwhite                                      -                        diamondwhite                            Miscellaneous Symbols                   WHITE DIAMOND SUIT  

    65 : e                                                 -                        e                                       Basic Latin                             LATIN SMALL LETTER E
   6D0 : e                                                 -                        e                                       Arabic                                  ARABIC LETTER E     
  A98C : e                                                 -                        e                                       Javanese                                JAVANESE LETTER E   

    38 : eight                                             -                        eight                                   Basic Latin                             DIGIT EIGHT         
   668 : eight                                             -                        eight                                   Arabic                                  ARABIC-INDIC DIGIT EIGHT
  A9D8 : eight                                             -                        eight                                   Javanese                                JAVANESE DIGIT EIGHT

   258 : ereversed                                         -                        ereversed                               IPA Extensions                          LATIN SMALL LETTER REVERSED E
   44D : ereversed                                         -                        ereversed                               Cyrillic                                CYRILLIC SMALL LETTER E

    35 : five                                              -                        five                                    Basic Latin                             DIGIT FIVE          
   665 : five                                              -                        five                                    Arabic                                  ARABIC-INDIC DIGIT FIVE
  A9D5 : five                                              -                        five                                    Javanese                                JAVANESE DIGIT FIVE 

    34 : four                                              -                        four                                    Basic Latin                             DIGIT FOUR          
   664 : four                                              -                        four                                    Arabic                                  ARABIC-INDIC DIGIT FOUR
  A9D4 : four                                              -                        four                                    Javanese                                JAVANESE DIGIT FOUR 

   607 : fourthroot                                        -                        fourthroot                              Arabic                                  ARABIC-INDIC FOURTH ROOT
  221C : fourthroot                                        -                        fourthroot                              Mathematical Operators                  FOURTH ROOT         

   263 : gamma                                             -                        gamma                                   IPA Extensions                          LATIN SMALL LETTER GAMMA
   3B3 : gamma                                             -                        gamma                                   Greek and Coptic                        GREEK SMALL LETTER GAMMA

   242 : glottalstop                                       -                        glottalstop                             Latin Extended-B                        LATIN SMALL LETTER GLOTTAL STOP
   294 : glottalstop                                       -                        glottalstop                             IPA Extensions                          LATIN LETTER GLOTTAL STOP

    60 : grave                                             -                        grave                                   Basic Latin                             GRAVE ACCENT        
  1FEF : grave                                             -                        grave                                   Greek Extended                          GREEK VARIA         

   261 : gscript                                           -                        gscript                                 IPA Extensions                          LATIN SMALL LETTER SCRIPT G
  210A : gscript                                           -                        gscript                                 Letterlike Symbols                      SCRIPT SMALL G      

  2440 : hook                                              -                        hook                                    Optical Character Recognition           OCR HOOK            
 1FA9D : hook                                              -                        hook                                    Symbols and Pictographs Extended-A      HOOK                

    2D : hyphen                                            -                        hyphen                                  Basic Latin                             HYPHEN-MINUS        
  2010 : hyphen                                            -                        hyphen                                  General Punctuation                     HYPHEN              

    69 : i                                                 -                        i                                       Basic Latin                             LATIN SMALL LETTER I
  2C3B : i                                                 -                        i                                       Glagolitic                              GLAGOLITIC SMALL LETTER I
  A986 : i                                                 -                        i                                       Javanese                                JAVANESE LETTER I   

   269 : iota                                              -                        iota                                    IPA Extensions                          LATIN SMALL LETTER IOTA
   3B9 : iota                                              -                        iota                                    Greek and Coptic                        GREEK SMALL LETTER IOTA

 18B00 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B01 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B02 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B03 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B04 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B05 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B06 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B07 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B08 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B09 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B0F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B10 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B11 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B12 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B13 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B14 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B15 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B16 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B17 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B18 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B19 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B1F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B20 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B21 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B22 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B23 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B24 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B25 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B26 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B27 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B28 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B29 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B2F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B30 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B31 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B32 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B33 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B34 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B35 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B36 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B37 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B38 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B39 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B3F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B40 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B41 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B42 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B43 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B44 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B45 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B46 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B47 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B48 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B49 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B4F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B50 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B51 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B52 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B53 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B54 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B55 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B56 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B57 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B58 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B59 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B5F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B60 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B61 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B62 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B63 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B64 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B65 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B66 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B67 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B68 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B69 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B6F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B70 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B71 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B72 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B73 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B74 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B75 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B76 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B77 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B78 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B79 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B7A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B7B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B7C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B7D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B7E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B7F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B80 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B81 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B82 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B83 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B84 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B85 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B86 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B87 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B88 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B89 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B8A : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B8B : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B8C : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B8D : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B8E : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B8F : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
 18B90 : khitansmallscriptcharacter#                       -                        khitansmallscriptcharacter#             Khitan Small Script                     KHITAN SMALL SCRIPT CHARACTER-#
